"code","year","age","asfr","total","cpfr","exposure"
"AUT",1953,21,0.12003,5336,0.274,44454.4
"AUT",1953,22,0.12885,5975,0.394,46373.54
"AUT",1953,23,0.12787,6041,0.523,47242.06
"AUT",1953,24,0.13171,6238,0.651,47362.45
"AUT",1953,25,0.1308,6241,0.783,47713.65
"AUT",1953,26,0.12304,6153,0.913,50008.14
"AUT",1953,27,0.1186,6362,1.036,53640.29
"AUT",1953,28,0.11329,6430,1.155,56755.61
"AUT",1953,29,0.10995,6435,1.268,58525.9
"AUT",1953,30,0.0961,5750,1.378,59834.23
"AUT",1953,31,0.09336,5596,1.474,59937.44
"AUT",1953,32,0.08105,4799,1.568,59212.95
"AUT",1953,33,0.07362,4037,1.649,54835.64
"AUT",1953,34,0.06448,2435,1.722,37765.67
"AUT",1953,35,0.05964,1783,1.787,29898.14
"AUT",1953,36,0.0516,1664,1.847,32250.98
"AUT",1953,37,0.04282,1526,1.898,35638.19
"AUT",1953,38,0.03864,1938,1.941,50155.55
"AUT",1953,39,0.03223,1800,1.98,55844.6
"AUT",1953,40,0.02611,1494,2.012,57221.59
"AUT",1953,41,0.01959,1123,2.038,57329.99
"AUT",1953,42,0.01489,860,2.058,57765
"AUT",1953,43,0.00947,560,2.072,59164.71
"AUT",1953,44,0.00582,340,2.082,58407
"AUT",1953,45,0.00376,218,2.088,57914.31
"AUT",1953,46,0.00166,97,2.091,58309.18
"AUT",1953,47,0.00075,43,2.093,57465.78
"AUT",1953,48,0.00032,18,2.094,56843.4
"AUT",1953,49,0.00012,6.95,2.094,56723.13
"AUT",1953,50,4e-05,2.05,2.094,56477.67
"AUT",1953,51,0,0,2.094,56245.43
"AUT",1953,52,0,0,2.094,54958.98
"AUT",1953,53,0,0,2.094,53996.76
"AUT",1953,54,0,0,2.094,52784.6
"AUT",1953,55,0,0,2.094,51195.46
"AUT",1954,12,0,0,0,58041.8
"AUT",1954,13,2e-05,1,0,62788.77
"AUT",1954,14,0.00018,12,0,67283.66
"AUT",1954,15,0.00204,110,0,54053.4
"AUT",1954,16,0.00894,368,0.002,41176.45
"AUT",1954,17,0.02773,1104,0.011,39817.8
"AUT",1954,18,0.05217,2096,0.039,40176.2
"AUT",1954,19,0.08006,3260,0.091,40718.08
"AUT",1954,20,0.10948,4550,0.171,41560.07
"AUT",1954,21,0.12211,5281,0.281,43249.05
"AUT",1954,22,0.13298,5880,0.403,44216.6
"AUT",1954,23,0.13456,6208,0.536,46134.43
"AUT",1954,24,0.13642,6413,0.67,47009.4
"AUT",1954,25,0.13507,6368,0.807,47145.5
"AUT",1954,26,0.12991,6171,0.942,47501.39
"AUT",1954,27,0.1241,6178,1.072,49783.12
"AUT",1954,28,0.11453,6118,1.196,53419.69
"AUT",1954,29,0.10946,6187,1.31,56523.85
"AUT",1954,30,0.10208,5950,1.42,58286.59
"AUT",1954,31,0.0913,5442,1.522,59605.29
"AUT",1954,32,0.08476,5061,1.613,59710.16
"AUT",1954,33,0.07584,4475,1.698,59003.59
"AUT",1954,34,0.06525,3565,1.774,54632.66
"AUT",1954,35,0.05923,2228,1.839,37613.83
"AUT",1954,36,0.05345,1592,1.898,29783.85
"AUT",1954,37,0.04721,1517,1.952,32134.49
"AUT",1954,38,0.03895,1383,1.999,35506.46
"AUT",1954,39,0.03338,1667,2.038,49946.83
"AUT",1954,40,0.0279,1552,2.071,55626.03
"AUT",1954,41,0.02111,1203,2.099,56997.68
"AUT",1954,42,0.01434,819,2.12,57097.51
"AUT",1954,43,0.00944,543,2.135,57517.55
"AUT",1954,44,0.00559,329,2.144,58907.72
"AUT",1954,45,0.0032,186,2.15,58170.01
"AUT",1954,46,0.0017,98,2.153,57665.81
"AUT",1954,47,0.00065,38,2.154,58019.68
"AUT",1954,48,4e-04,23,2.155,57147.85
"AUT",1954,49,7e-05,4.06,2.156,56489.87
"AUT",1954,50,7e-05,4.15,2.156,56380.05
"AUT",1954,51,1e-05,0.79,2.156,56115.64
"AUT",1954,52,0,0,2.156,55855.97
"AUT",1954,53,0,0,2.156,54578.52
"AUT",1954,54,0,0,2.156,53621.28
"AUT",1954,55,0,0,2.156,52369.05
"AUT",1955,12,2e-05,1,0,52344.3
"AUT",1955,13,3e-05,2,0,57913.63
"AUT",1955,14,3e-05,2,0,62620.99
"AUT",1955,15,0.00219,147,0,67054.32
"AUT",1955,16,0.00963,518,0.002,53810.39
"AUT",1955,17,0.0275,1125,0.012,40914.46
"AUT",1955,18,0.05747,2271,0.039,39515.25
"AUT",1955,19,0.0861,3429,0.097,39827.95
"AUT",1955,20,0.11072,4466,0.183,40337.42
"AUT",1955,21,0.12869,5299,0.294,41176.52
"AUT",1955,22,0.14012,6013,0.422,42912.43
"AUT",1955,23,0.14761,6481,0.562,43904.96
"AUT",1955,24,0.14409,6606,0.71,45847.25
"AUT",1955,25,0.14408,6732,0.854,46725.59
"AUT",1955,26,0.1389,6514,0.998,46896.55
"AUT",1955,27,0.13327,6296,1.137,47242.4
"AUT",1955,28,0.12349,6115,1.27,49517.38
"AUT",1955,29,0.11507,6116,1.394,53152.22
"AUT",1955,30,0.10842,6098,1.509,56245.12
"AUT",1955,31,0.10099,5858,1.617,58008.57
"AUT",1955,32,0.08886,5273,1.718,59342.61
"AUT",1955,33,0.0824,4898,1.807,59442
"AUT",1955,34,0.0716,4206,1.89,58743.3
"AUT",1955,35,0.06433,3499,1.961,54391.99
"AUT",1955,36,0.05588,2092,2.026,37437.75
"AUT",1955,37,0.04888,1449,2.081,29645.97
"AUT",1955,38,0.04025,1288,2.13,32000.65
"AUT",1955,39,0.03499,1237,2.171,35353.07
"AUT",1955,40,0.027,1342,2.206,49708.51
"AUT",1955,41,0.02042,1131,2.233,55398.13
"AUT",1955,42,0.0148,840,2.253,56758.62
"AUT",1955,43,0.00961,546,2.268,56833.04
"AUT",1955,44,0.00597,342,2.277,57238.57
"AUT",1955,45,0.00307,180,2.283,58631.26
"AUT",1955,46,0.00161,93,2.286,57904.06
"AUT",1955,47,0.00068,39,2.288,57408.34
"AUT",1955,48,0.00023,13,2.289,57690.72
"AUT",1955,49,0.00019,10.81,2.289,56799.82
"AUT",1955,50,1e-04,5.56,2.289,56124.81
"AUT",1955,51,3e-05,1.63,2.289,56007.63
"AUT",1955,52,0,0,2.289,55733.69
"AUT",1955,53,0,0,2.289,55431.56
"AUT",1955,54,0,0,2.289,54174.62
"AUT",1955,55,0,0,2.289,53200.28
"AUT",1956,12,0,0,0,53557.09
"AUT",1956,13,2e-05,1,0,52244.68
"AUT",1956,14,0.00052,30,0,57736.81
"AUT",1956,15,0.00228,142,0.001,62392.83
"AUT",1956,16,0.01053,703,0.003,66740.14
"AUT",1956,17,0.02947,1576,0.013,53476.14
"AUT",1956,18,0.06113,2479,0.043,40553.42
"AUT",1956,19,0.09358,3659,0.104,39101.43
"AUT",1956,20,0.11903,4684,0.198,39351.43
"AUT",1956,21,0.14437,5747,0.317,39806.28
"AUT",1956,22,0.15411,6267,0.461,40664.85
"AUT",1956,23,0.15899,6750,0.615,42454.76
"AUT",1956,24,0.16084,6996,0.774,43496.25
"AUT",1956,25,0.15728,7150,0.935,45459.88
"AUT",1956,26,0.14964,6939,1.092,46371.62
"AUT",1956,27,0.14315,6665,1.242,46558.06
"AUT",1956,28,0.13482,6322,1.385,46890.77
"AUT",1956,29,0.12497,6146,1.52,49181.14
"AUT",1956,30,0.11408,6023,1.645,52794.96
"AUT",1956,31,0.10781,6023,1.759,55864.23
"AUT",1956,32,0.09666,5573,1.867,57654.07
"AUT",1956,33,0.0877,5173,1.963,58987.28
"AUT",1956,34,0.07965,4708,2.051,59106.24
"AUT",1956,35,0.06767,3953,2.131,58414.39
"AUT",1956,36,0.06075,3285,2.198,54077.81
"AUT",1956,37,0.05191,1932,2.259,37216.1
"AUT",1956,38,0.04622,1363,2.311,29486.33
"AUT",1956,39,0.03738,1190,2.357,31832.98
"AUT",1956,40,0.0302,1062,2.395,35162.95
"AUT",1956,41,0.02302,1138,2.425,49433.73
"AUT",1956,42,0.01611,888,2.448,55125.82
"AUT",1956,43,0.01043,589,2.464,56466.16
"AUT",1956,44,0.00619,350,2.474,56507.57
"AUT",1956,45,0.00314,179,2.481,56928.06
"AUT",1956,46,0.00154,90,2.484,58299.71
"AUT",1956,47,0.00066,38,2.485,57613.59
"AUT",1956,48,0.00023,13,2.486,57083.37
"AUT",1956,49,0,0,2.486,57337.22
"AUT",1956,50,1e-05,0.54,2.486,56437.29
"AUT",1956,51,1e-05,0.46,2.486,55726.26
"AUT",1956,52,0,0,2.486,55595.67
"AUT",1956,53,0,0,2.486,55299.13
"AUT",1956,54,0,0,2.486,54967.1
"AUT",1956,55,0,0,2.486,53729.07
"AUT",1957,12,2e-05,1,0,47414.91
"AUT",1957,13,0.00011,6,0,53524.57
"AUT",1957,14,0.00036,19,0,52139.89
"AUT",1957,15,0.00283,163,0,57587.59
"AUT",1957,16,0.01044,649,0.003,62187.93
"AUT",1957,17,0.03133,2083,0.014,66489.84
"AUT",1957,18,0.06089,3240,0.045,53208.91
"AUT",1957,19,0.09569,3853,0.106,40266.59
"AUT",1957,20,0.12506,4848,0.202,38766.24
"AUT",1957,21,0.14621,5698,0.327,38970.77
"AUT",1957,22,0.15946,6282,0.473,39394.85
"AUT",1957,23,0.16583,6681,0.632,40287.96
"AUT",1957,24,0.16722,7042,0.798,42111.9
"AUT",1957,25,0.16597,7168,0.965,43188.27
"AUT",1957,26,0.15778,7126,1.131,45162.74
"AUT",1957,27,0.15285,7046,1.289,46098.52
"AUT",1957,28,0.13923,6443,1.442,46277.1
"AUT",1957,29,0.13251,6179,1.581,46628.99
"AUT",1957,30,0.11913,5826,1.714,48903.41
"AUT",1957,31,0.10862,5702,1.833,52496.19
"AUT",1957,32,0.09762,5424,1.942,55562.63
"AUT",1957,33,0.08796,5046,2.039,57364.88
"AUT",1957,34,0.08016,4706,2.127,58708.57
"AUT",1957,35,0.0729,4288,2.207,58823.64
"AUT",1957,36,0.06229,3622,2.28,58150.23
"AUT",1957,37,0.05412,2913,2.342,53824.12
"AUT",1957,38,0.04643,1720,2.397,37048.02
"AUT",1957,39,0.03571,1048,2.443,29350.47
"AUT",1957,40,0.03117,988,2.479,31695.75
"AUT",1957,41,0.0227,794,2.51,34984.78
"AUT",1957,42,0.01565,770,2.533,49209.72
"AUT",1957,43,0.01128,619,2.548,54885.97
"AUT",1957,44,0.00626,352,2.56,56196.62
"AUT",1957,45,0.00352,198,2.566,56216.56
"AUT",1957,46,0.00168,95,2.569,56620.49
"AUT",1957,47,0.00088,51,2.571,57992.72
"AUT",1957,48,0.00028,16,2.572,57308.6
"AUT",1957,49,1e-04,5.81,2.572,56753.84
"AUT",1957,50,2e-05,1.19,2.572,57003.09
"AUT",1957,51,0,0,2.572,56071.8
"AUT",1957,52,0,0,2.572,55321.23
"AUT",1957,53,0,0,2.572,55197.67
"AUT",1957,54,0,0,2.572,54854.63
"AUT",1957,55,0,0,2.572,54510.99
"AUT",1958,12,3e-05,1,0,39688.59
"AUT",1958,13,6e-05,3,0,47389.37
"AUT",1958,14,0.00045,24,0,53503.2
"AUT",1958,15,0.00257,134,0.001,52072.05
"AUT",1958,16,0.01112,639,0.003,57485.05
"AUT",1958,17,0.03202,1987,0.014,62057.49
"AUT",1958,18,0.06128,4064,0.046,66323.3
"AUT",1958,19,0.09682,5134,0.108,53027.78
"AUT",1958,20,0.12866,5156,0.204,40073.54
"AUT",1958,21,0.15008,5786,0.333,38551.98
"AUT",1958,22,0.16504,6390,0.483,38718.63
"AUT",1958,23,0.17253,6749,0.648,39117.19
"AUT",1958,24,0.17395,6963,0.821,40028.67
"AUT",1958,25,0.16988,7113,0.995,41870.86
"AUT",1958,26,0.16278,6994,1.164,42966.3
"AUT",1958,27,0.15159,6815,1.327,44957.01
"AUT",1958,28,0.14011,6430,1.479,45891.52
"AUT",1958,29,0.12908,5949,1.619,46086.07
"AUT",1958,30,0.12084,5611,1.748,46432.21
"AUT",1958,31,0.10898,5308,1.869,48704.37
"AUT",1958,32,0.09984,5220,1.978,52285.5
"AUT",1958,33,0.08994,4978,2.078,55345.97
"AUT",1958,34,0.08034,4591,2.168,57144.06
"AUT",1958,35,0.07043,4120,2.248,58494.18
"AUT",1958,36,0.06286,3684,2.318,58610.33
"AUT",1958,37,0.05211,3019,2.381,57938.86
"AUT",1958,38,0.04369,2343,2.433,53624.59
"AUT",1958,39,0.0363,1340,2.477,36914.69
"AUT",1958,40,0.02822,825,2.513,29236.09
"AUT",1958,41,0.02106,665,2.542,31578.52
"AUT",1958,42,0.01472,513,2.563,34855.4
"AUT",1958,43,0.01106,542,2.577,49008.74
"AUT",1958,44,0.00646,353,2.588,54684.61
"AUT",1958,45,0.00336,188,2.595,55955.67
"AUT",1958,46,0.00125,70,2.598,55964.6
"AUT",1958,47,0.00059,33,2.6,56347.55
"AUT",1958,48,0.00029,17,2.6,57693.75
"AUT",1958,49,4e-05,2.56,2.6,57004.65
"AUT",1958,50,2e-05,1.02,2.6,56453.26
"AUT",1958,51,1e-05,0.42,2.6,56666.12
"AUT",1958,52,0,0,2.6,55722.35
"AUT",1958,53,0,0,2.6,54939.23
"AUT",1958,54,0,0,2.6,54766.75
"AUT",1958,55,0,0,2.6,54424.48
"AUT",1959,12,2e-05,1,0,52539.23
"AUT",1959,13,1e-04,4,0,39670.59
"AUT",1959,14,0.00059,28,0,47376.37
"AUT",1959,15,0.00316,169,0.001,53468.45
"AUT",1959,16,0.01273,662,0.004,52001.81
"AUT",1959,17,0.03385,1943,0.017,57392.49
"AUT",1959,18,0.06534,4047,0.05,61936.94
"AUT",1959,19,0.10235,6773,0.116,66174.66
"AUT",1959,20,0.13081,6916,0.218,52872.15
"AUT",1959,21,0.15484,6180,0.349,39912.18
"AUT",1959,22,0.17307,6640,0.504,38365.7
"AUT",1959,23,0.17642,6794,0.677,38509.44
"AUT",1959,24,0.18368,7145,0.853,38898.66
"AUT",1959,25,0.17526,6979,1.037,39821.47
"AUT",1959,26,0.16793,6999,1.212,41679.25
"AUT",1959,27,0.16042,6865,1.38,42795.22
"AUT",1959,28,0.14479,6484,1.541,44781.85
"AUT",1959,29,0.13713,6271,1.685,45730.55
"AUT",1959,30,0.12451,5718,1.822,45923.1
"AUT",1959,31,0.1113,5150,1.947,46269.55
"AUT",1959,32,0.09853,4782,2.058,48535.77
"AUT",1959,33,0.09039,4710,2.157,52104.91
"AUT",1959,34,0.07936,4377,2.247,55154.07
"AUT",1959,35,0.07266,4138,2.327,56951.7
"AUT",1959,36,0.06096,3554,2.399,58296.88
"AUT",1959,37,0.05522,3226,2.46,58422.49
"AUT",1959,38,0.04452,2571,2.515,57753.76
"AUT",1959,39,0.0384,2052,2.56,53435.24
"AUT",1959,40,0.02938,1081,2.598,36790.76
"AUT",1959,41,0.02297,669,2.628,29129.95
"AUT",1959,42,0.01551,488,2.651,31464.96
"AUT",1959,43,0.00939,326,2.666,34719.23
"AUT",1959,44,0.00627,306,2.676,48823.15
"AUT",1959,45,0.0036,196,2.682,54473.63
"AUT",1959,46,0.0014,78,2.685,55716.63
"AUT",1959,47,0.00056,31,2.687,55720.12
"AUT",1959,48,0.00025,14,2.687,56072.09
"AUT",1959,49,0.00012,6.66,2.688,57414.76
"AUT",1959,50,4e-05,2.51,2.688,56729.54
"AUT",1959,51,1e-05,0.83,2.688,56128.77
"AUT",1959,52,0,0,2.688,56335.61
"AUT",1959,53,0,0,2.688,55351.39
"AUT",1959,54,0,0,2.688,54553.83
"AUT",1959,55,0,0,2.688,54367.68
"AUT",1960,12,0,0,0,52590.16
"AUT",1960,13,1e-04,5,0,52518.56
"AUT",1960,14,0.00055,22,0,39652.36
"AUT",1960,15,0.00321,152,0.001,47352.88
"AUT",1960,16,0.01353,723,0.004,53428.02
"AUT",1960,17,0.03749,1948,0.017,51960.64
"AUT",1960,18,0.06714,3850,0.055,57344.87
"AUT",1960,19,0.10243,6338,0.122,61873.46
"AUT",1960,20,0.13236,8749,0.224,66099.74
"AUT",1960,21,0.15199,8023,0.357,52785.58
"AUT",1960,22,0.16985,6765,0.509,39828.8
"AUT",1960,23,0.17894,6846,0.679,38259.68
"AUT",1960,24,0.18035,6923,0.858,38387.15
"AUT",1960,25,0.17634,6837,1.038,38772.55
"AUT",1960,26,0.17272,6858,1.214,39706.81
"AUT",1960,27,0.16146,6711,1.387,41563.85
"AUT",1960,28,0.15244,6507,1.548,42684.64
"AUT",1960,29,0.13477,6020,1.701,44667.23
"AUT",1960,30,0.12184,5559,1.836,45625.83
"AUT",1960,31,0.11238,5148,1.958,45809.63
"AUT",1960,32,0.10374,4788,2.07,46154.49
"AUT",1960,33,0.08975,4345,2.174,48413.64
"AUT",1960,34,0.0794,4127,2.263,51975.34
"AUT",1960,35,0.07018,3861,2.343,55013.92
"AUT",1960,36,0.06113,3473,2.413,56813.31
"AUT",1960,37,0.05166,3005,2.474,58167.9
"AUT",1960,38,0.04612,2688,2.526,58279.89
"AUT",1960,39,0.03719,2142,2.572,57600.19
"AUT",1960,40,0.02766,1474,2.609,53290.15
"AUT",1960,41,0.02255,827,2.637,36680.34
"AUT",1960,42,0.01515,440,2.659,29039.04
"AUT",1960,43,0.00972,305,2.674,31366.71
"AUT",1960,44,0.00578,200,2.684,34599.18
"AUT",1960,45,0.00325,158,2.69,48659.36
"AUT",1960,46,0.00157,85,2.693,54261.15
"AUT",1960,47,5e-04,28,2.695,55504.2
"AUT",1960,48,2e-04,11,2.695,55487.21
"AUT",1960,49,6e-05,3.23,2.695,55811.04
"AUT",1960,50,1e-05,0.77,2.695,57139.21
"AUT",1960,51,0,0,2.696,56432.15
"AUT",1960,52,0,0,2.696,55802.86
"AUT",1960,53,0,0,2.696,55987.69
"AUT",1960,54,0,0,2.696,55004.55
"AUT",1960,55,0,0,2.696,54164.22
"AUT",1961,12,2e-05,1,0,51124.47
"AUT",1961,13,0.00011,6,0,52585.27
"AUT",1961,14,0.00051,27,0,52508.04
"AUT",1961,15,0.00432,171,0.001,39594.35
"AUT",1961,16,0.01712,809,0.005,47265.47
"AUT",1961,17,0.04137,2206,0.022,53318.21
"AUT",1961,18,0.07549,3911,0.063,51807.71
"AUT",1961,19,0.1072,6130,0.139,57180.53
"AUT",1961,20,0.13549,8359,0.246,61694.86
"AUT",1961,21,0.15674,10325,0.382,65871.77
"AUT",1961,22,0.17162,9030,0.538,52614.98
"AUT",1961,23,0.18556,7368,0.71,39705.86
"AUT",1961,24,0.18768,7161,0.896,38155.08
"AUT",1961,25,0.18379,7045,1.083,38331.99
"AUT",1961,26,0.17543,6792,1.267,38716.87
"AUT",1961,27,0.16422,6511,1.442,39648.85
"AUT",1961,28,0.1569,6511,1.607,41497.79
"AUT",1961,29,0.13907,5928,1.764,42624.5
"AUT",1961,30,0.1303,5814,1.903,44619.34
"AUT",1961,31,0.11306,5150,2.033,45549.89
"AUT",1961,32,0.10415,4762,2.146,45724.58
"AUT",1961,33,0.09204,4241,2.25,46076.97
"AUT",1961,34,0.0814,3935,2.342,48340.68
"AUT",1961,35,0.07107,3687,2.424,51881.1
"AUT",1961,36,0.06521,3581,2.495,54912.36
"AUT",1961,37,0.0548,3108,2.56,56716.79
"AUT",1961,38,0.04541,2636,2.615,58042.5
"AUT",1961,39,0.03864,2247,2.66,58151.43
"AUT",1961,40,0.02868,1649,2.699,57493.77
"AUT",1961,41,0.02248,1195,2.727,53152.2
"AUT",1961,42,0.01585,580,2.75,36589.95
"AUT",1961,43,0.0096,278,2.766,28966.8
"AUT",1961,44,0.00543,170,2.775,31288.75
"AUT",1961,45,0.00272,94,2.781,34495.93
"AUT",1961,46,0.00163,79,2.784,48502.84
"AUT",1961,47,0.00076,41,2.785,54079.97
"AUT",1961,48,0.00034,19,2.786,55298.25
"AUT",1961,49,5e-05,3,2.786,55237.83
"AUT",1961,50,2e-05,0.93,2.786,55576.63
"AUT",1961,51,3e-05,1.66,2.786,56856.85
"AUT",1961,52,1e-05,0.41,2.786,56117.84
"AUT",1961,53,0,0,2.786,55476.53
"AUT",1961,54,0,0,2.786,55629.86
"AUT",1961,55,0,0,2.786,54621.7
"AUT",1962,12,0,0,0,47830.66
"AUT",1962,13,8e-05,4,0,51189.48
"AUT",1962,14,3e-04,16,0,52601.89
"AUT",1962,15,0.00408,214,0,52454.29
"AUT",1962,16,0.01839,726,0.004,39482.4
"AUT",1962,17,0.04684,2205,0.023,47071.88
"AUT",1962,18,0.08003,4244,0.07,53033.35
"AUT",1962,19,0.11121,5727,0.15,51498.88
"AUT",1962,20,0.13835,7868,0.261,56868.65
"AUT",1962,21,0.15625,9587,0.399,61358.42
"AUT",1962,22,0.17107,11215,0.556,65556.91
"AUT",1962,23,0.18123,9501,0.727,52424.46
"AUT",1962,24,0.18599,7367,0.908,39608.65
"AUT",1962,25,0.18433,7036,1.094,38169.77
"AUT",1962,26,0.17699,6783,1.278,38323.18
"AUT",1962,27,0.16513,6394,1.455,38720.54
"AUT",1962,28,0.15454,6127,1.62,39646.84
"AUT",1962,29,0.14203,5894,1.775,41497.87
"AUT",1962,30,0.13303,5672,1.917,42637.37
"AUT",1962,31,0.11546,5151,2.05,44613.28
"AUT",1962,32,0.10553,4802,2.165,45505.7
"AUT",1962,33,0.08981,4103,2.271,45686.2
"AUT",1962,34,0.08062,3713,2.361,46053.39
"AUT",1962,35,0.07275,3514,2.441,48301.95
"AUT",1962,36,0.06058,3139,2.514,51817.09
"AUT",1962,37,0.05263,2886,2.575,54836.47
"AUT",1962,38,0.04531,2565,2.627,56605.18
"AUT",1962,39,0.03866,2239,2.673,57909.85
"AUT",1962,40,0.02991,1737,2.711,58072.52
"AUT",1962,41,0.02225,1277,2.741,57387.02
"AUT",1962,42,0.01501,796,2.763,53031.54
"AUT",1962,43,0.01021,373,2.778,36519
"AUT",1962,44,0.00682,197,2.789,28904.79
"AUT",1962,45,0.00285,89,2.795,31223.27
"AUT",1962,46,0.00113,39,2.798,34384.4
"AUT",1962,47,0.00074,36,2.799,48362.51
"AUT",1962,48,0.00024,13,2.8,53873.57
"AUT",1962,49,7e-05,3.63,2.8,55084.7
"AUT",1962,50,1e-05,0.37,2.8,55034.73
"AUT",1962,51,0,0,2.8,55349.57
"AUT",1962,52,0,0,2.8,56550.3
"AUT",1962,53,0,0,2.8,55786.81
"AUT",1962,54,0,0,2.8,55119.01
"AUT",1962,55,0,0,2.8,55280.76
"AUT",1963,12,4e-05,2,0,47046.63
"AUT",1963,13,6e-05,3,0,47986.13
"AUT",1963,14,0.00064,33,0,51268.3
"AUT",1963,15,0.00422,222,0.001,52633.14
"AUT",1963,16,0.0184,964,0.005,52402.41
