"code","year","age","asfr","total","cpfr","exposure"
"AUT",1951,12,0,0,0,56781.3
"AUT",1951,13,0,0,0,42578.92
"AUT",1951,14,0.00037,15,0,40711.41
"AUT",1951,15,0.0015,62,0,41367.65
"AUT",1951,16,0.00846,354,0.002,41865.59
"AUT",1951,17,0.02615,1120,0.01,42835.63
"AUT",1951,18,0.05113,2256,0.036,44120.44
"AUT",1951,19,0.07838,3558,0.088,45393.23
"AUT",1951,20,0.1001,4667,0.166,46623.59
"AUT",1951,21,0.11041,5316,0.266,48146.6
"AUT",1951,22,0.11919,5702,0.376,47837.81
"AUT",1951,23,0.12044,5869,0.496,48728.1
"AUT",1951,24,0.12267,6221,0.616,50713.69
"AUT",1951,25,0.12121,6546,0.739,54006.78
"AUT",1951,26,0.11673,6701,0.86,57405.6
"AUT",1951,27,0.1154,6804,0.977,58961.47
"AUT",1951,28,0.10743,6480,1.092,60317.93
"AUT",1951,29,0.10672,6443,1.2,60373.9
"AUT",1951,30,0.0988,5781,1.306,58513.72
"AUT",1951,31,0.0885,4871,1.405,55038.05
"AUT",1951,32,0.07601,3026,1.494,39808.35
"AUT",1951,33,0.06957,2133,1.57,30661.63
"AUT",1951,34,0.06326,2106,1.639,33291.15
"AUT",1951,35,0.05725,2091,1.702,36525.31
"AUT",1951,36,0.05347,2623,1.76,49056.96
"AUT",1951,37,0.04687,2650,1.813,56540.36
"AUT",1951,38,0.04035,2304,1.86,57104.55
"AUT",1951,39,0.03363,1970,1.9,58585.63
"AUT",1951,40,0.02779,1608,1.934,57869.93
"AUT",1951,41,0.02074,1237,1.962,59630.13
"AUT",1951,42,0.01533,906,1.983,59111.61
"AUT",1951,43,0.0103,603,1.998,58523.97
"AUT",1951,44,0.00595,348,2.008,58511
"AUT",1951,45,0.00343,201,2.014,58535.57
"AUT",1951,46,0.00168,96,2.018,57212.58
"AUT",1951,47,0.00088,51,2.019,57718.94
"AUT",1951,48,0.00039,22,2.02,56952.82
"AUT",1951,49,0.00017,9.59,2.02,56976.11
"AUT",1951,50,0.00017,9.33,2.021,55825.49
"AUT",1951,51,7e-05,3.7,2.021,54605.98
"AUT",1951,52,1e-05,0.38,2.021,53664.32
"AUT",1951,53,0,0,2.021,52166.28
"AUT",1951,54,0,0,2.021,51019.83
"AUT",1951,55,0,0,2.021,50071.11
"AUT",1952,12,0,0,0,67701.93
"AUT",1952,13,4e-05,2,0,54501.73
"AUT",1952,14,0.00038,16,0,41652.05
"AUT",1952,15,0.00171,69,0,40369.5
"AUT",1952,16,0.00816,333,0.002,40811.39
"AUT",1952,17,0.02519,1043,0.01,41408.78
"AUT",1952,18,0.05052,2133,0.035,42222.2
"AUT",1952,19,0.08222,3606,0.086,43860.05
"AUT",1952,20,0.10226,4576,0.168,44748.78
"AUT",1952,21,0.11361,5301,0.27,46661.3
"AUT",1952,22,0.12334,5860,0.384,47509.36
"AUT",1952,23,0.12349,5882,0.507,47633.09
"AUT",1952,24,0.12821,6151,0.631,47975
"AUT",1952,25,0.12386,6227,0.759,50272.83
"AUT",1952,26,0.12439,6708,0.883,53927.7
"AUT",1952,27,0.11792,6724,1.007,57023.96
"AUT",1952,28,0.11027,6482,1.125,58784.87
"AUT",1952,29,0.10458,6286,1.236,60106.27
"AUT",1952,30,0.09904,5962,1.34,60200.05
"AUT",1952,31,0.08923,5306,1.439,59465.11
"AUT",1952,32,0.08245,4540,1.528,55063.62
"AUT",1952,33,0.07272,2758,1.611,37924.21
"AUT",1952,34,0.06523,1959,1.684,30031.49
"AUT",1952,35,0.05612,1817,1.749,32377.03
"AUT",1952,36,0.05141,1840,1.805,35788.54
"AUT",1952,37,0.04749,2392,1.856,50365.33
"AUT",1952,38,0.03974,2228,1.904,56060.38
"AUT",1952,39,0.03339,1919,1.944,57477.12
"AUT",1952,40,0.02579,1485,1.977,57586.96
"AUT",1952,41,0.02156,1251,2.003,58031.01
"AUT",1952,42,0.01481,880,2.024,59434.66
"AUT",1952,43,0.00997,585,2.039,58672.46
"AUT",1952,44,0.00562,327,2.049,58163.27
"AUT",1952,45,0.0035,205,2.055,58595.12
"AUT",1952,46,0.00159,92,2.058,57780.2
"AUT",1952,47,0.00065,37,2.06,57183.36
"AUT",1952,48,0.00026,15,2.06,57085.6
"AUT",1952,49,0.00015,8.25,2.061,56825.23
"AUT",1952,50,9e-05,5.1,2.061,56612.38
"AUT",1952,51,3e-05,1.65,2.061,55331.93
"AUT",1952,52,0,0,2.061,54377.16
"AUT",1952,53,0,0,2.061,53198.03
"AUT",1952,54,0,0,2.061,51624.49
"AUT",1952,55,0,0,2.061,50674.43
"AUT",1953,12,0,0,0,62930.74
"AUT",1953,13,4e-05,3,0,67472.9
"AUT",1953,14,0.00033,18,0,54252.86
"AUT",1953,15,0.00188,78,0,41391.95
"AUT",1953,16,0.00881,353,0.002,40063.86
"AUT",1953,17,0.02523,1021,0.011,40462.82
"AUT",1953,18,0.05062,2077,0.036,41028.58
"AUT",1953,19,0.08029,3361,0.087,41858.26
"AUT",1953,20,0.10696,4655,0.167,43521.66
